sigma_est,rmse_hours,rmse_hours_portfolio,mean_overlap20,mean_spearman,prob_top10_change_gt3,mean_induced_logV_sd,n_reps,variant,gamma,zeta
0.05,4.704837298979942,7.6067347262270495,0.9305,0.9985083351421751,0.0,0.057110427897404156,500,baseline,-0.4,0.5
0.1,9.47152315038159,15.290110063881887,0.9171,0.9948504907990257,0.0,0.11495885340055073,500,baseline,-0.4,0.5
0.15,14.362844611955692,23.174343349463268,0.9065,0.9890514627499217,0.0,0.17349080246139117,500,baseline,-0.4,0.5
0.2,19.4435032412828,31.049548081908657,0.8893,0.9813578310783109,0.004,0.2326419428288299,500,baseline,-0.4,0.5
0.3,30.44763693887205,49.63826251385984,0.8458,0.9598680450039795,0.062,0.35426807254854803,500,baseline,-0.4,0.5
0.4,43.08303363243592,69.89085542554292,0.8019000000000001,0.9324515097798037,0.222,0.4911720407822758,500,baseline,-0.4,0.5
0.5,58.06276149795093,94.30912780934278,0.7682,0.8998631840436051,0.404,0.6322561385778124,500,baseline,-0.4,0.5
0.6,76.27748752175142,123.36849541450516,0.7235,0.8653909461447556,0.54,0.8062954257283623,500,baseline,-0.4,0.5
0.7,98.88547552790122,161.7610871997326,0.6891000000000002,0.8282353097942744,0.656,0.9935165830085372,500,baseline,-0.4,0.5
0.8,127.44271363337843,201.48359173006912,0.6662,0.7929774618334419,0.73,1.1933507657285614,500,baseline,-0.4,0.5
0.9,164.0944646126234,261.05446024766627,0.6367,0.7567668125798905,0.84,1.424681229223457,500,baseline,-0.4,0.5
1.0,211.86178524106543,331.2029282754616,0.6149,0.7230436256421389,0.856,1.6915922969221258,500,baseline,-0.4,0.5
1.1,275.07647176075585,427.0309144642261,0.5866999999999999,0.6911152883293539,0.888,1.998325986738851,500,baseline,-0.4,0.5
1.2,360.05051073411653,560.2026980019712,0.5834,0.6587330439186745,0.908,2.348032176833084,500,baseline,-0.4,0.5
